澳大利亚元万元,4.9318,澳元
澳元万元,4.9318,澳元
丹麦克朗万元,0.9779,丹麦克朗
港币万元,0.837,港元
加拿大元万元,4.9649,加拿大元
美元万元,6.49,美元
欧元万元,7.2882,欧元
日元万元,0.058,日元
瑞典克朗万元,0.7883,瑞典克朗
瑞士法郎万元,6.6857,瑞士法郎
万?美元,6.49,美元
万?欧元,7.2882,欧元
万?日元,0.058,日元
万?香港元,0.837,港元
万?英镑,9.2824,英镑
万阿富汗尼,0.0949,阿富汗阿富汗尼
万阿富汗尼人民币,0.0949,阿富汗阿富汗尼
万阿根廷比索,0.45,阿根廷比索
万阿塞拜疆马纳特,4.0636,阿塞拜疆新马纳特
万安道尔比塞塔,0.0438,安道尔比塞塔
万澳大利亚元,4.9318,澳元
万澳门元,0.8115,澳门元
万澳元,4.9318,澳元
万比利时法郎,0.1807,比利时法郎
万玻利维亚比索,0.9489,玻利维亚诺
万布隆迪法郎,0.0042,布隆迪法郎
万丹麦克郎,0.9779,丹麦克朗
万丹麦克朗,0.9779,丹麦克朗
万德国马克,3.7264,德国马克
万法国法郎,1.1111,法国法郎
万港币,0.837,港元
万港元,0.837,港元
万哥伦比亚比索,0.0021,哥伦比亚比索
万瓜拉尼,0.0011,巴拉圭瓜拉尼
万韩国元,0.0056,韩元
万韩国圆,0.0056,韩元
万韩元,0.0056,韩元
万加拿大元,4.9649,加拿大元
万加元,4.9649,加拿大元
万开曼群岛元,7.7767,开曼群岛元
万科摩罗法郎,0.0147,科摩罗法郎
万克罗地亚库纳,0.9673,克罗地亚库纳
万列弗,3.7272,保加利亚列弗
万列克,0.0528,阿尔巴尼亚列克
万伦皮拉,0.2878,洪都拉斯伦皮拉
万马来西亚币,1.6188,马来西亚令吉
万马来西亚林吉特,1.6188,马来西亚令吉
万美,6.49,美元
万美元,6.49,美元
万缅元,0.0053,缅元
万挪威克朗,0.7715,挪威克朗
万欧元,7.2882,欧元
万日元,0.058,日元
万瑞典克郎,0.7883,瑞典克朗
万瑞典克朗,0.7883,瑞典克朗
万瑞士法郎,6.6857,瑞士法郎
万塞地,0.0002,加纳塞地
万所罗门群岛元,0.821,所罗门群岛元
万文莱元,4.7673,文莱元
万香港元,0.837,港元
万新加坡元,4.7688,新加坡元
万新克瓦查,0.0012,赞比亚克瓦查
万新台湾元,0.2002,台币
万新西兰元,4.3847,新西兰元
万新扎伊尔,0.007,刚果法郎
万英镑,9.2824,英镑
万元阿富汗尼,0.0949,阿富汗阿富汗尼
万元澳大利亚元,4.9318,澳元
万元丹麦克朗,0.9779,丹麦克朗
万元德国马克,3.7264,德国马克
万元法国法郎,1.1111,法国法郎
万元港币,0.837,港元
万元港元,0.837,港元
万元港元（港币）,0.837,港元
万元加拿大元,4.9649,加拿大元
万元加元,4.9649,加拿大元
万元美元,6.49,美元
万元欧元,7.2882,欧元
万元欧元（原欧洲货币单位）,7.2882,欧元
万元日元,0.058,日元
万元瑞典克朗,0.7883,瑞典克朗
万元瑞士法郎,6.6857,瑞士法郎
万元香港元,0.837,港元
万元新加坡元,4.7688,新加坡元
万元新台币,0.2002,台币
万元新台湾元,0.2002,台币
万元英镑,9.2824,英镑
万元智利比索,0.0096,智利比索
万智利比索,0.0096,智利比索
万智利比索人民币,0.0096,智利比索
新加坡元万元,4.7688,新加坡元
英镑万元,9.2824,英镑